Evento,Coordenada X (°O),Coordenada Y (°S),A o S,Movimiento vertical (m),Direccion (N S E O),Fuente,Localidad
1960,-73.50,-41.50,-1000,-1.5 +- 0.1,NO,Cisternas y otros (2000),Río Maullín
1837,-72.50,-41.72,-,-,-,Cisternas y otros (2017),Golfo de Reloncaví
1837,-73.94,-46.59,-1000,-2.0 +- 0.5,-,Cisternas y otros (2017),Fiordo San Rafael
PH 898 - 1128,-74.00,-42.00,-,-,NO,Cisternas y otros (2018),Cocotué
PH 1300 - 1398,-74.00,-42.00,0000,0,NO,Cisternas y otros (2018),Cocotué
1575,-74.00,-42.00,-,-,NO,Cisternas y otros (2018),Cocotué
1960,-74.00,-42.00,-,-,NO,Cisternas y otros (2018),Cocotué
1960,-73.49,-38.25,0000,0,-,Dura y otros (2017),Quidico
1960,-73.50,-38.34,0000,0,-,Dura y otros (2017),Tirúa 
1575,-73.50,-38.34,-1000,0,-,Dura y otros (2017),Tirúa 
1960,-74.00,-42.50,-,-,-,Kempf y otros (2017),Lago Huelde
1837,-74.00,-42.50,-,-,-,Kempf y otros (2017),Lago Huelde
1575,-74.00,-42.50,-,-,-,Kempf y otros (2017),Lago Huelde
1960,-74.00,-41.50,-1000,-1.12 +- 1.03,-,Garret y otros (2015),Chucalén
1575,-74.00,-41.50,+1000,0.08 +- 1.07,-,Garret y otros (2015),Chucalén
PH 1270 - 1450,-74.00,-41.50,-1000,-0.92 +- 1.20,-,Garret y otros (2015),Chucalén
PH 1070 - 1220,-74.00,-41.50,-1000,-0.60 +- 1.10,-,Garret y otros (2015),Chucalén
1960,-73.00,-36.50,-1000,-0.1 +- 0.5,-,Hocking y otros (2017),Río Andalién
1960,-73.50,-38.15,-1000,-0.4 +- 0.5,-,Hocking y otros (2017),Río Tirúa
1960,-73.20,-39.40,-1000,-0.9 +- 0.5,-,Hocking y otros (2017),Río Lingue
1960,-73.60,-40.10,-1000,-0.4 +- 0.5,-,Hocking y otros (2017),Río Chaihuín
1960,-73.80,-40.60,-1000,-0.5 +- 0.5,-,Hocking y otros (2017),Pucatrihue
1960,-73.80,-41.30,-1000,-0.3 +- 0.5,-,Hocking y otros (2017),Llico
1960,-73.80,-41.60,-1000,-0.9 +- 0.5,-,Hocking y otros (2017),Río Maullín
1960,-74.00,-42.00,-1000,-1.0 +- 0.5,-,Hocking y otros (2017),Chucalén
1960,-73.30,-38.10,-,-,SO,Hong y otros (2017),Quidico
PH 1445 - 1490,-73.30,-38.10,-,-,,Hong y otros (2017),Quidico
